Primary Sector,Definition
Biological Waste Treatment Facility,A facility that uses biological processes such as composting or anaerobic digestion to treat and stabilize organic or biological waste streams.
Biomass Power Plant,"A power plant that generates electricity or heat by burning biomass fuels such as wood chips, agricultural residues, or energy crops."
Biomethane Plants,A facility that upgrades raw biogas to biomethane (renewable natural gas) by removing CO2 and impurities for grid injection or vehicle use.
Biopharmaceutical Production,"A facility that manufactures biological medicines derived from living cells, including vaccines, monoclonal antibodies, and recombinant proteins."
Bridge,"A structure built to span physical obstacles such as rivers, valleys, or roads to allow passage of vehicles, pedestrians, or trains."
Bulk Drug Manufacturing,A large-scale facility producing bulk active pharmaceutical substances prior to formulation into final dosage forms.
Bungalow,"A single-story residential dwelling, typically detached, with a low-pitched roof and simple layout."
Bus Terminal,"A transportation hub where buses arrive, depart, and transfer passengers, providing ticketing, waiting areas, and operational facilities."
Butadiene Plant,"A chemical facility that produces butadiene, a key monomer used in synthetic rubber, nylon, and ABS plastic manufacturing."
Butane Isomerization Unit,"A refinery unit that converts normal butane to isobutane, increasing its value as a blending component for gasoline and alkylation feed."
Cable Laying Vessel (CLV),"A specialized ship designed to install submarine cables on the seabed for telecommunications, power, or data transmission purposes."
Calcium Ammonium Nitrate Plant,"A facility producing calcium ammonium nitrate, a nitrogen fertilizer that also reduces soil acidity compared to pure ammonium nitrate."
Calcium Carbide Plant,"A plant that produces calcium carbide through the reaction of lime and coke in an electric arc furnace, used to generate acetylene gas."
Carbon - Capture,A facility or system that captures CO2 emissions from industrial processes or power plants before they are released into the atmosphere.
Carbon - Capture & Storage,An integrated system combining CO2 capture from emission sources with long-term geological storage to mitigate greenhouse gas emissions.
Carbon - Full Chain,"A comprehensive carbon management system encompassing capture, transportation, and storage of CO2 in a single integrated project."
Carbon - Storage,A facility or geological site designated for the permanent sequestration of captured CO2 underground to prevent atmospheric release.
Carbon - Transport,Infrastructure such as pipelines or ships used to move captured CO2 from emission sources to storage or utilization sites.
Carbon - Transport & Storage (T&S),Combined infrastructure providing both transportation and permanent underground storage of captured CO2 emissions.
Carbon Black Plant,"A facility producing carbon black, a fine powder used as a reinforcing agent in tires, inks, coatings, and plastics."
Carbon Capture and Utilization (CCU),"A facility that captures CO2 emissions and converts them into valuable products such as fuels, chemicals, or building materials."
Carbon Dioxide (CO2) Plant,"A plant that produces or purifies CO2 for use in food and beverage carbonation, industrial processes, and enhanced oil recovery."
Casino,"A commercial entertainment facility offering gambling activities including card games, slot machines, and sports betting."
Catalysts Production Facility,"A plant that manufactures chemical catalysts used to accelerate reactions in petroleum refining, chemical synthesis, and environmental control."
Catalytic Reforming Unit,A refinery unit that converts low-octane naphtha into high-octane gasoline blending components and aromatic chemicals using a catalyst.
Causeway,"A raised road or railway built across low or wet ground, typically supported on embankments or bridges to connect land areas."
Cement Plant,"A large industrial facility that produces cement by processing limestone, clay, and other raw materials through calcination and grinding."
Channel,"An artificial or natural waterway used for irrigation, drainage, navigation, or water supply purposes."
Chemical Recycling Plant,A facility that breaks down plastic or chemical waste into monomers or feedstocks for reuse in manufacturing new chemicals or polymers.
Chemical Refinery,"A processing plant that purifies, refines, or upgrades chemical feedstocks into higher-value products through various chemical processes."
Chemical Waste Treatment Facility,"A facility that treats hazardous or non-hazardous chemical waste through physical, chemical, or thermal processes before disposal."
Chlor-Alkali Plant,"A chemical plant that produces chlorine and sodium hydroxide (caustic soda) through electrolysis of brine, essential for PVC and other chemicals."
Church,"A place of Christian worship and community gathering for religious ceremonies, prayer, and pastoral activities."
Cinema,A commercial facility equipped with projection and sound systems for showing movies to a paying audience.
Civic Center,"A public building or complex housing government offices, community services, and spaces for public meetings and events."
Coal Power Plant,"A thermal power station that burns coal to generate steam, which drives turbines to produce electricity."
Cold Storage Plant,"A temperature-controlled warehouse facility used to preserve perishable goods such as food, pharmaceuticals, and chemicals."
College,"A post-secondary educational institution offering undergraduate degree programs, diplomas, or vocational qualifications."
Communication Antenna Tower,"A tall structure supporting antennas for broadcasting, telecommunications, or data transmission across radio or microwave frequencies."
Communication Cable Tunnel,"An underground tunnel housing cables for telecommunications, fiber optic, or data transmission infrastructure."
Composting Facility,A facility that processes organic waste through aerobic decomposition to produce compost for agricultural or landscaping applications.
Compressed-Air Energy Storage (CAES),An energy storage facility that compresses air into underground caverns or tanks and releases it to generate electricity during peak demand.
Concentrated Solar Power (CSP),"A solar power facility that uses mirrors or lenses to concentrate sunlight to generate heat, which drives a turbine to produce electricity."
Condominium,A multi-unit residential building where individual units are privately owned while common areas are collectively maintained.
Construction and Demolition Waste Landfill,"A designated disposal site for inert waste materials generated from construction, renovation, and demolition activities."
Conventional Commuter Railway,A rail system providing scheduled passenger services between urban centers and surrounding suburban or rural areas on standard rail lines.
Cosmetic Ingredients Plant,"A manufacturing facility producing raw materials, actives, and specialty ingredients used in cosmetics, personal care, and beauty products."
Cottage,"A small, modest residential dwelling typically located in rural or scenic areas, used as a primary or vacation home."
Cross-linkable Polyethylene (XLPE) Plant,"A facility producing XLPE, a modified polyethylene with cross-linked polymer chains used in power cables and piping systems."
Crude Oil Pipeline,A pipeline infrastructure system that transports crude oil from extraction sites to refineries or storage terminals over long distances.
Cumene Plant,"A chemical plant that produces cumene by alkylating benzene with propylene, serving as a precursor to phenol and acetone production."
Cyclohexane Plant,"A facility producing cyclohexane by hydrogenating benzene, used as a solvent and as a raw material for nylon and adipic acid manufacturing."
Dairy Processing Plant,"A facility that processes raw milk into dairy products such as pasteurized milk, cheese, yogurt, butter, and cream."
Dam,"A barrier built across a waterway to impound water for hydroelectric power generation, irrigation, flood control, or water supply."
Data Center,"A facility housing computer servers, networking equipment, and storage systems for processing, storing, and distributing digital data."
Desalination Plant,"A facility that removes salt and dissolved minerals from seawater or brackish water to produce fresh, potable water."
Detached Housing,A standalone single-family residential building that is not physically attached to any other dwelling.
Diammonium Phosphate (DAP) Plant,"A facility producing DAP fertilizer, a highly concentrated phosphate and nitrogen source widely used in crop production."
District Cooling Plant,A centralized facility that produces chilled water and distributes it through a network of pipes to cool multiple buildings in a district.
District Heating Plant,A centralized facility that generates and distributes heat through insulated pipelines to provide space heating and hot water to multiple buildings.
Dormitory,"A residential building providing shared or individual sleeping quarters for students, workers, or institutional occupants."
Drainage System,"A network of channels, pipes, and structures designed to remove excess surface water or wastewater from urban or agricultural areas."
Dredging,"The excavation and removal of sediment, debris, or material from the bed of a water body to deepen or maintain waterways and harbors."
Drive-in Movie Facility,"An outdoor venue where patrons watch films from their vehicles, using a large projection screen and in-car audio systems."
Drug Intermediates,A facility producing chemical compounds that serve as intermediate steps in the synthesis pathway of active pharmaceutical ingredients.
Duplex Apartment,"A residential unit occupying two floors within a single building, typically with an internal staircase connecting the levels."
Dyes and Pigments Plant,"A manufacturing facility producing synthetic dyes and pigments used in textiles, paints, coatings, and plastics."
E-waste Recycling Plant,A facility that processes end-of-life electronic devices to recover valuable metals and safely dispose of hazardous components.
Effluent Treatment Plants,A facility that treats industrial or commercial wastewater to remove pollutants before discharge into water bodies or municipal systems.
Electricity Transmission Tunnel,An underground tunnel housing high-voltage power cables to transmit electricity across urban or environmentally sensitive areas.
Electrolyzer Manufacturing Plant,"A facility producing electrolyzers, devices that split water into hydrogen and oxygen using electricity, key for green hydrogen production."
Ethanol Plant,"A facility that produces ethanol through fermentation of biomass or chemical synthesis, used as a biofuel, solvent, or industrial chemical."
Ethylene DiChloride (EDC) Production,"A chemical plant that produces ethylene dichloride by chlorinating ethylene, serving as the primary feedstock for PVC manufacturing."
Ethylene Glycol Plant,"A facility producing ethylene glycol, used as an antifreeze agent and as a raw material for polyester fibers and PET resins."
Ethylene Oxide Plant,"A plant producing ethylene oxide by oxidizing ethylene, used in making ethylene glycol, surfactants, and other chemicals."
Ethylene Plant,"A steam cracking facility that produces ethylene, the world's most produced organic chemical, used as a key building block for plastics and chemicals."
Ethylene Propylene Diene Monomer Plant (EPDM),"A facility producing EPDM rubber, a synthetic elastomer with excellent weathering and ozone resistance used in seals, roofing, and automotive parts."
Ethylene Vinyl Acetate (EVA) Plant,"A plant producing EVA copolymer, a flexible and transparent material used in solar cell encapsulants, footwear, and packaging films."
Ferrous Material,"A facility involved in the production, processing, or recycling of iron-based metals including steel and cast iron."
Fire Station,"A public safety building housing firefighting equipment, emergency vehicles, and personnel ready to respond to fire and rescue emergencies."
Flavors and Fragrances Plant,"A manufacturing facility producing natural and synthetic flavor compounds and fragrances for use in food, beverages, cosmetics, and household products."
Floating Liquefied Natural Gas (FLNG),"An offshore vessel that processes and liquefies natural gas at sea, eliminating the need for onshore LNG plant infrastructure."
Floating Production Storage and Offloading (FPSO),"An offshore vessel used to process crude oil or gas from subsea wells, store it onboard, and offload it to tankers."
Floating Solar Power Plant,"A solar energy generation system mounted on floating platforms on water bodies, conserving land and benefiting from water cooling."
Floating Storage and Offloading Unit (FSO),An offshore vessel used solely for storing crude oil or refined products and transferring them to shuttle tankers without processing.
Floating Storage Regasification Unit (FSRU),A vessel that stores liquefied natural gas offshore and regasifies it for delivery into onshore pipeline networks.
Flood Control & Protection System,"Infrastructure including levees, floodgates, retention basins, and barriers designed to manage and mitigate flood risks in vulnerable areas."
Flow Battery Production Plant,"A facility manufacturing flow batteries, rechargeable systems where energy is stored in liquid electrolyte solutions for large-scale storage applications."
Fluid Catalytic Cracking (FCC) Unit,"A refinery unit that converts heavy oil fractions into lighter, higher-value products such as gasoline and propylene using a catalyst at high temperatures."
Fluorine Chemical Plant,"A facility that produces fluorine-based chemicals including fluoropolymers, refrigerants, and fluorinated intermediates for industrial use."
Flyover,An elevated road or bridge structure that passes over another road or railway intersection to ease traffic congestion.
Flywheel Energy Storage (FES),An energy storage system that stores kinetic energy in a rapidly spinning rotor and releases it as electricity when needed.
Food Additives Plant,"A manufacturing facility producing preservatives, emulsifiers, colorants, flavor enhancers, and other substances added to food products."
Food Processing Plant,"A facility that transforms raw agricultural ingredients into processed food products through cleaning, cutting, cooking, packaging, and preservation."
Freight and Other Material Railway,"A rail network designed for the transportation of goods, commodities, and raw materials between industrial sites, ports, and distribution centers."
Garages and Service Station,"A facility providing vehicle fueling, maintenance, repair, and parking services for private and commercial vehicles."
Gas Chemical Storage,"A facility designed for the safe storage of chemicals in gaseous phase, including pressurized or cryogenic gas tanks and associated infrastructure."
Gas Power Plant,"A power station that burns natural gas in turbines or engines to generate electricity, often with combined heat and power capability."
Gas Processing Plant,A facility that removes impurities and separates natural gas liquids from raw natural gas to prepare it for pipeline transport.
Gas Turbine Manufacturing Plant,"A facility that designs and manufactures gas turbines used in power generation, aviation, and industrial drive applications."
Gas-to-Liquids (GTL) Plant,A chemical conversion facility that transforms natural gas into liquid hydrocarbons such as synthetic fuels and lubricants via the Fischer-Tropsch process.
Gasification Plant,"A facility that converts carbonaceous materials such as coal, biomass, or waste into synthesis gas (syngas) through high-temperature partial oxidation."
Geothermal Power Plant,A power plant that harnesses heat from the Earth's interior through steam or hot water resources to generate electricity.
Glass,"A manufacturing or processing facility that produces flat, container, or specialty glass products for construction, packaging, and industrial applications."
Glass Recycling Facility,"A facility that collects, sorts, and reprocesses waste glass into cullet for reuse in new glass manufacturing, reducing raw material consumption."
Glycol Plant,"A chemical plant producing glycols such as monoethylene glycol (MEG) or propylene glycol, used in antifreeze, polyesters, and pharmaceuticals."
Golf Course,"A recreational outdoor facility designed for playing golf, featuring multiple holes across a landscaped terrain."
Hanger,"A large enclosed structure at an airport or airbase used for housing, maintaining, and repairing aircraft."
Harbor,A sheltered coastal or inland waterway area providing safe anchorage and docking facilities for ships and boats.
Hazardous Waste Landfill,A specially engineered disposal site for chemically or biologically hazardous waste materials requiring containment to prevent environmental contamination.
Hazardous Waste Treatment Facility,"A facility that processes, neutralizes, or detoxifies hazardous industrial or chemical waste prior to safe disposal or recycling."
Health & Athletic Club,"A recreational facility offering fitness equipment, classes, pools, and wellness services to members for health and exercise purposes."
Heavy Machinery Manufacturing Plant,"A facility producing large industrial equipment such as cranes, excavators, mining machines, and turbines for construction and industry."
Helium Plant,"A facility that extracts and purifies helium from natural gas streams for use in cryogenics, MRI machines, and semiconductor manufacturing."
High Speed Railway,"A railway system operating at significantly higher speeds than conventional trains, connecting major cities with fast and efficient service."
High-Rise Apartment,"A multi-story residential building with many floors, typically containing numerous individual units and shared common areas."
Highway,"A major public road designed for high-speed, long-distance vehicular travel connecting cities, regions, or countries."
Holiday Home,"A secondary residential property used primarily for recreation or leisure, often located in a tourist or scenic destination."
Hospital,"A medical institution providing inpatient and outpatient care, surgery, emergency services, and diagnostic facilities to patients."
Hotel,"A commercial establishment providing paid lodging, meals, and services to travelers and tourists on a short-term basis."
Hybrid Power Plant,"A power generation facility that combines two or more energy sources such as solar, wind, battery, and diesel to optimize reliability and efficiency."
Hydro Turbine Manufacturing Plant,A facility that manufactures hydraulic turbines and associated equipment used in hydroelectric power generation plants.
Hydrocracking Unit,"A refinery unit that uses hydrogen and a catalyst to break down heavy oil fractions into lighter, higher-value products such as diesel and jet fuel."
Hydroelectric Power Plant,A power facility that converts the kinetic and potential energy of flowing or falling water into electricity using turbines and generators.
Hydrofluoric Acid Alkylation Unit,A refinery unit that combines isobutane with light olefins using hydrofluoric acid as a catalyst to produce high-octane alkylate for gasoline blending.
Hydrogen Infrastructure,"The network of production, storage, transportation, and distribution systems required to support hydrogen as an energy carrier."
Hydrogen New Pipeline,Newly constructed pipeline infrastructure dedicated to transporting hydrogen gas from production sites to end-use facilities.
Hydrogen Peroxide Plant,"A chemical facility producing hydrogen peroxide, used as a bleaching agent, disinfectant, and oxidant in chemical and industrial processes."
Hydrogen Pipelines Repurpose,The conversion and adaptation of existing natural gas pipelines to safely transport hydrogen fuel across distribution networks.
Hydrogen Production Plants,"Facilities that generate hydrogen gas through methods such as steam methane reforming, electrolysis, or biomass gasification."
Hydrogen Storage,"Infrastructure or systems for safely storing hydrogen in compressed, liquid, or solid-state form for distribution or energy use."
Hydrogen Tanker Ship,A specialized vessel designed to transport liquefied or compressed hydrogen across sea routes between production and demand centers.
Hyperloop,A high-speed ground transportation system that propels passenger or freight pods through low-pressure tubes at near-sonic speeds.
Ice Rink,"An indoor or outdoor facility with a frozen surface used for ice skating, ice hockey, figure skating, and other winter sports."
Incinerator (Waste-to-Energy (WtE)),A facility that combusts municipal or industrial waste at high temperatures to generate heat or electricity while reducing waste volume.
Industrial Gasses,"A facility that produces, purifies, and distributes industrial gases such as oxygen, nitrogen, hydrogen, argon, and carbon dioxide for various industries."
Industrial Waste Landfill,A designated site for the controlled disposal of non-hazardous solid waste generated by industrial and manufacturing activities.
Inert Waste Landfill,"A disposal site for construction and demolition waste materials that do not undergo significant biological, chemical, or physical transformation."
Iso-propyl Alcohol Plant,"A facility producing isopropyl alcohol (IPA), a common solvent and disinfectant used in pharmaceuticals, cosmetics, and electronics cleaning."
Jetty,"A structure extending into water, used as a landing point for vessels or to protect a harbor from wave action."
Laboratory,"A controlled-environment facility equipped for scientific research, testing, analysis, and experimentation."
Land Reclamation,"The process of creating new land from sea, riverbeds, or other water bodies through filling with soil or other materials."
Launching Pad,"A fixed or mobile platform infrastructure from which rockets, missiles, or spacecraft are launched into the atmosphere."
Lead Acid (LAB) Battery Production Plant,"A facility manufacturing lead-acid batteries, the most widely used rechargeable batteries in automotive, industrial, and backup power applications."
Library,"A public or institutional facility providing collections of books, digital resources, and spaces for reading, research, and community programs."
Light Rail Transit,"An urban rail transit system that operates at lower speeds and capacity than heavy rail, typically running on city streets or dedicated tracks."
Liquid Chemical Storage,"A facility equipped with tanks, containment systems, and safety infrastructure for the bulk storage of liquid chemicals."
Lithium Hydroxide Plant,"A facility producing lithium hydroxide from lithium minerals or brines, a critical material for high-energy cathodes in lithium-ion batteries."
Lithium-ion (Li-ion) Battery Production Plant,"A manufacturing facility producing lithium-ion battery cells, modules, or packs for electric vehicles, consumer electronics, and energy storage."
LNG Liquefaction Plant,A facility that cools natural gas to -162°C to convert it into liquefied natural gas (LNG) for storage and export by tanker ships.
LNG Regasification Plant,"A terminal facility that receives LNG imports, warms and vaporizes the liquid back into gas, and injects it into the pipeline network."
Low-Rise Apartment,"A residential building of limited height, typically up to four floors, containing multiple individual dwelling units."
Maleic Anhydride Plant,"A chemical facility producing maleic anhydride, used in the manufacture of unsaturated polyester resins, agricultural chemicals, and lubricants."
Marine and Ocean Waste Management,"Systems and facilities for collecting, treating, and managing waste generated from marine activities or washed ashore from ocean environments."
Mass Rapid Transit/Metro,A high-capacity urban rail transit system operating on exclusive tracks to move large volumes of passengers quickly through cities.
Material Recovery Facility,A facility that sorts and processes recyclable materials recovered from the waste stream for sale to secondary materials markets.
Medical Waste Treatment Facility,"A facility that sterilizes, inactivates, or otherwise treats infectious and hazardous medical waste before disposal."
Metal Processing Plant,"A facility that melts, shapes, alloys, or finishes metals into intermediate or final products for industrial use."
Metal Recycling Facility,"A plant that collects, sorts, shreds, and melts scrap metals for reprocessing into recycled metal feedstocks for manufacturing."
Methanol Plant,"A chemical production facility that synthesizes methanol from natural gas, coal, or biomass, used as a fuel, solvent, and chemical feedstock."
Methyl Isobutyl Carbinol Plant,"A facility producing MIBC, a frother chemical used primarily in flotation processes for mineral and ore processing."
Mineral Mining,"An operation involving the extraction of minerals, ores, or precious metals from the earth through surface or underground mining techniques."
Mineral Processing Plant,"A facility that crushes, grinds, separates, and concentrates ores and minerals for further refining or industrial use."
Mining Tunnel,An underground excavation created during mining operations to access ore deposits or provide ventilation and transport routes.
Mining Washery,A facility that separates and cleans coal or ore by washing with water and separating impurities based on density.
Mining Waste Management,"Systems and facilities for the safe containment, treatment, and rehabilitation of tailings, spoil heaps, and other mining waste."
Minor Metal,"A facility or operation focused on the production of specialty or less-common metals such as titanium, lithium, or vanadium."
Missile Facility,"A secure military installation for the storage, maintenance, assembly, or launch of guided missiles and related systems."
Mixed-Use Building,"A structure that combines residential, commercial, and sometimes industrial spaces within a single development."
Modular Housing,A type of housing constructed from prefabricated sections or modules manufactured off-site and assembled at the building location.
Monoammonium Phosphate (MAP) Plant,"A facility producing MAP fertilizer, a water-soluble phosphate and nitrogen source used in crop nutrition and fire retardants."
Monorail,"A railway system that runs on a single rail or beam, used for urban transit or theme park transportation."
Mosque,"A place of Islamic worship where Muslims gather for daily prayers, religious education, and community activities."
Motel,"A roadside accommodation facility designed for motorists, offering direct room access from parking areas."
Municipal Solid Waste Landfill,"A controlled disposal site for household and commercial solid waste, engineered to minimize environmental impact and manage leachate and gas."
Museum,"A public institution that collects, preserves, researches, and exhibits objects of cultural, historical, scientific, or artistic significance."
Natural Gas Pipeline,"A network of pipes that transports natural gas from production sites, processing plants, or import terminals to distribution points and consumers."
Nickel-Cadmium (NiCd) Battery Production Plant,"A facility manufacturing nickel-cadmium rechargeable batteries used in power tools, emergency lighting, and portable electronics."
Nickel-Metal Hydride (NiMH) Battery Production Plant,"A facility producing NiMH rechargeable batteries, used in hybrid vehicles, consumer electronics, and medical devices."
Nitric Acid Plant,"A chemical facility producing nitric acid through catalytic oxidation of ammonia, primarily used in fertilizer and explosives manufacturing."
Nitrogen Plant,"A facility that produces and purifies nitrogen gas for industrial applications including food packaging, electronics manufacturing, and chemical processing."
Nitrous Oxide (N2O) Plant,"A facility producing nitrous oxide for medical anesthesia, food industry applications, and as an oxidizer in aerospace propulsion."
Non-Ferrous Material,"A facility involved in producing or processing metals that do not contain iron in significant amounts, such as copper, aluminum, or zinc."
NPK Fertilizer Plant,"A facility producing compound fertilizers containing nitrogen, phosphorus, and potassium in varying ratios tailored to crop nutritional needs."
Nuclear Power Plant,"A facility that uses nuclear fission reactions to generate heat, which produces steam to drive turbines for electricity generation."
Nuclear Waste Disposal Site,A highly engineered facility for the long-term isolation and containment of radioactive waste from nuclear power and weapons programs.
Nylon Fiber Plant,"A facility that polymerizes and spins nylon into continuous filament or staple fiber for use in textiles, carpets, and industrial applications."
Office Building,"A commercial building designed to accommodate business, professional, and administrative activities in individual or open-plan workspaces."
Offshore Wind Power Plant,A wind energy facility located in open water where turbines are mounted on fixed or floating foundations to harness strong offshore winds.
Oil Power Plant,A thermal power station that burns fuel oil or distillate to generate steam or directly drives turbines for electricity production.
Oil Refinery and Petrochemical Complex,An integrated facility combining crude oil refining with petrochemical production to maximize value from hydrocarbon feedstocks.
Oil to Petrochemical Complex,"A facility that directly converts crude oil into petrochemical products such as olefins and aromatics, bypassing conventional fuel-focused refining."
Oilfield Chemicals Plant,"A facility producing specialty chemicals used in oil and gas exploration, drilling, production, and well stimulation operations."
Onshore Wind Power Plant,A wind energy facility located on land where turbines convert wind kinetic energy into electricity.
Ore & Metal Refinery,"A facility that refines crude ores or impure metals into high-purity metals or alloys through smelting, electrolysis, or chemical processes."
Other Airport Facilities,"Supporting infrastructure at airports including maintenance hangars, cargo terminals, fuel farms, and control towers."
Other Basic Inorganics Plants,"Facilities producing fundamental inorganic chemicals not classified elsewhere, such as salts, acids, or alkalis for industrial use."
Other Battery Component Plant,"Facilities manufacturing miscellaneous battery components not separately classified, contributing to battery cell and pack assembly."
Other Battery Manufacturing Plant,"Facilities producing battery types or formats not covered by specific categories, for various energy storage applications."
Other Biofuels Production Facilities,"Facilities producing renewable fuels from biological sources not classified under bioethanol, biodiesel, or biomethane categories."
Other Chemical Plants,Industrial facilities producing chemicals that do not fall under more specific plant categories in the classification system.
Other Chemical Storage,"Storage facilities for chemical products that do not fit into gas, liquid, or solid chemical storage categories."
Other Commercial Facility,"Commercial buildings or establishments serving retail, hospitality, or service functions not covered by specific categories."
Other Communication Infrastructure,"Telecommunication infrastructure including towers, cables, exchanges, and data networks not covered by specific categories."
Other Educational Building,"Educational facilities such as training centers, vocational schools, or institutes not classified under colleges, schools, or universities."
Other Electricity Transmission Infrastructure,"Electrical transmission infrastructure including switchyards, capacitor banks, and reactive power equipment not separately categorized."
Other Energy Storage Facilities,"Energy storage systems using technologies not specifically categorized, such as advanced thermal or mechanical storage."
Other Fertilizer Plants,"Facilities producing fertilizers not classified under specific fertilizer types such as DAP, MAP, NPK, or urea."
Other Fine Chemical Plants,"Facilities manufacturing specialized, high-purity chemicals for pharmaceuticals, agriculture, and electronics not elsewhere classified."
Other Health Care Building,"Healthcare facilities including clinics, nursing homes, rehabilitation centers, and specialized medical facilities beyond hospitals."
Other Hospitality,"Lodging and hospitality facilities not classified under hotels, motels, or resorts, such as guesthouses or serviced apartments."
Other Industrial Gases Plant,Facilities producing industrial gases beyond commonly classified types such as specialty gas mixtures or rare gases.
Other Industrial Plants,Manufacturing or processing facilities not covered by specific industrial plant categories in the classification system.
Other Infrastructure Facilities,Civil and public infrastructure assets not classified under specific infrastructure categories.
Other Institutional Buildings,"Buildings serving public or civic institutional functions such as courthouses, government offices, or embassies not elsewhere classified."
Other Integrated Facilities,Multi-function industrial or commercial complexes combining several production or service activities in a single site.
Other Intermediates Plants,Facilities producing chemical intermediates used in downstream synthesis that do not fit into more specific intermediate categories.
